name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Київ, Україна",2023-10-12T00:00:00,10.1,10.1,-1.1,45.67,0,0,,0,0,41,14.4,190,1020.9,90,20,0,0,0,10,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2023-10-12T01:00:00,11,11,0.7,49.03,0,0,,0,0,42.1,23,204.5,1020,99.6,24.1,0,0,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T02:00:00,10.9,10.9,0.7,49.35,0,0,,0,0,42.5,23.4,206.9,1019,99.6,24.1,0,0,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T03:00:00,10.1,10.1,-0.4,48.07,0,0,,0,0,43.2,14.4,200,1019.3,100,20,0,0,0,10,Overcast,cloudy,33345099999
"Київ, Україна",2023-10-12T04:00:00,10.4,10.4,0.8,51.39,0,0,,0,0,43.2,22.7,209.1,1018,92.1,24.1,0,0,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T05:00:00,10,7.1,2.4,59.19,0,0,,0,0,42.1,22,212,1018,99.1,24.1,0,0,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T06:00:00,9.7,7.6,1.1,55.03,0,0,,0,0,40.7,14.4,200,1017.7,60,20,0,0,0,10,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2023-10-12T07:00:00,9.9,7,2.5,60.01,0,0,,0,0,40.7,22.3,214.4,1017,98,24.1,0,0,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T08:00:00,11.2,11.2,3.9,60.76,0,0,,0,0,42.1,22.7,213.9,1017,100,24.1,16.1,0.1,0,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T09:00:00,10.9,10.9,3.2,59,0,0,,0,0,44.3,10.8,210,1017.2,90,20,109.7,0.4,1,10,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2023-10-12T10:00:00,11,11,3.8,61.14,0,0,,0,0,43.2,23,214.9,1017,96.4,24.1,215.1,0.8,2,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T11:00:00,18,18,6.5,46.93,0,0,,0,0,45.7,23.8,218.7,1016,100,24.1,322,1.2,3,10,Overcast,cloudy,remote
"Київ, Україна",2023-10-12T12:00:00,18.1,18.1,6.9,47.93,0,0,,0,0,47.9,18,220,1015.9,90,20,422.3,1.5,4,10,Partially cloudy,partly-cloudy-day,33345099999
