name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Київ, Україна",2024-10-10T00:00:00,14.4,14.4,13.1,91.9,0,0,,0,0,24.8,3.6,150,1008.5,90,10,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-10T01:00:00,12.6,12.6,11.5,93.01,0,0,,0,0,24.5,13.3,167.2,1009,67.6,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-10T02:00:00,12.5,12.5,11.4,93.01,0,0,,0,0,23,11.5,171.8,1008,37.4,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-10T03:00:00,12.9,12.9,11.7,92.42,0,0,,0,0,20.5,0,169.1,1008.3,2.6,4,0,0,0,,Clear,clear-night,33345099999
"Київ, Україна",2024-10-10T04:00:00,12.3,12.3,11.2,93,0,0,,0,0,18.7,10.4,160.5,1008,4,,0,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-10-10T05:00:00,11.4,11.4,10.8,96.1,0,0,,0,0,17.6,11.2,155.4,1008,15,,0,0,0,,Clear,clear-night,remote
"Київ, Україна",2024-10-10T06:00:00,12.1,12.1,11.6,96.76,0,0,,0,0,19.8,7.2,160,1007.8,42.5,1,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-10T07:00:00,11.3,11.3,10.7,96.09,0,0,,0,0,22,14,155.7,1007,99.2,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T08:00:00,12.2,12.2,11.7,96.76,0,0,,0,0,23.8,14.8,157.6,1007,100,,17.2,0.1,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T09:00:00,12.7,12.7,12.4,98.05,0,0,,0,0,28.1,0,166.1,1007.7,100,1,99.4,0.4,1,,Overcast,cloudy,33345099999
"Київ, Україна",2024-10-10T10:00:00,12.2,12.2,11.9,98.04,0,0,,0,0,34.6,16.9,170,1008,100,,87.6,0.3,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T11:00:00,15.5,15.5,13.2,86.18,0,0,,0,0,33.1,15.8,169.8,1008,100,,134.5,0.5,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T12:00:00,15.7,15.7,13.4,86.2,0,0,,0,0,32.4,7.2,180,1007.8,90,20,166,0.6,2,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-10-10T13:00:00,18.5,18.5,12.2,66.74,0,0,,0,0,31.3,14.8,168.8,1007,96.2,,179.8,0.6,2,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T14:00:00,18.8,18.8,12.2,65.5,0,0,,0,0,29.5,15.1,167.9,1007,98.8,,225.8,0.8,2,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T15:00:00,19.9,19.9,13.7,67.46,0,0,,0,0,28.8,7.2,130,1006.8,90,20,190,0.7,2,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-10-10T16:00:00,19.2,19.2,12.1,63.46,0,0,,0,0,28.8,13.3,156.1,1007,100,,120.2,0.4,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T17:00:00,18.4,18.4,12.6,68.94,0,0,,0,0,18.4,11.5,146.6,1006,90.2,,87.7,0.3,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T18:00:00,18.9,18.9,14.4,75.13,0,0,,0,0,16.9,3.6,150,1006.4,80,20,33,0.1,0,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-10-10T19:00:00,18.2,18.2,13.3,73.08,0,0,,0,0,23,13.3,130.6,1006,75.8,,0.6,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-10T20:00:00,14.8,14.8,12.9,88.39,0,0,,0,0,25.9,14.4,132.8,1006,72.7,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-10T21:00:00,15.9,15.9,13.7,86.78,0,0,,0,0,26.3,0,138.8,1006.8,80,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-10T22:00:00,14.7,14.7,13,89.55,0,0,,0,0,23.8,12.2,144,1007,90.4,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-10T23:00:00,13.6,13.6,12.5,93.06,0,0,,0,0,22,11.9,142.5,1007,99.7,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T00:00:00,13.4,13.4,11.9,90.64,0,0,,0,0,22,0,145,1007.3,78.7,20,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-11T01:00:00,12.9,12.9,11.8,93.03,0,0,,0,0,20.9,12.6,144.2,1007,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T02:00:00,13,13,11.8,92.42,0,0,,0,0,20.5,11.9,144.8,1007,92.2,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T03:00:00,12.9,12.9,12.2,95.51,0,0,,0,0,20.5,0,146.5,1007,30,4,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-11T04:00:00,13.3,13.3,11.7,90.03,0,0,,0,0,20.5,11.5,146.4,1007,94.1,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T05:00:00,13,13,11.8,92.42,0,0,,0,0,20.2,11.2,146.5,1007,90,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-11T06:00:00,11.9,11.9,11.4,96.75,0,0,,0,0,20.5,0,146.4,1006.9,60,4,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-11T07:00:00,12.7,12.7,11.9,94.88,0,0,,0,0,21.6,12.6,145.9,1006,85.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-11T08:00:00,13.6,13.6,13.2,97.43,0,0,,0,0,22.7,13.7,149.2,1007,98.8,,14.1,0.1,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T09:00:00,13.7,13.7,13.4,98.07,0,0,,0,0,25.6,3.6,130,1007.7,100,0,101.2,0.4,1,,Overcast,cloudy,33345099999
"Київ, Україна",2024-10-11T10:00:00,14,14,13.7,98.07,0,0,,0,0,33.5,18.4,157.5,1007,100,,97.6,0.4,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T11:00:00,16.7,16.7,15.1,90.28,0,0,,0,0,36.4,19.1,160,1008,100,,120.7,0.4,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T12:00:00,14.7,14.7,14.4,98.08,0,0,,0,0,37.4,7.2,170,1008.3,100,1,158.5,0.6,2,,Overcast,cloudy,33345099999
"Київ, Україна",2024-10-11T13:00:00,19.1,19.1,15.6,80.15,0,0,,0,0,37.1,19.4,165.2,1007,100,,160.8,0.6,2,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T14:00:00,19.1,19.1,15.5,79.64,0.1,100,rain,0,0,36,18.4,167.4,1007,100,,152.1,0.5,2,,"Rain, Overcast",rain,remote
"Київ, Україна",2024-10-11T15:00:00,18.9,18.9,15.4,80.13,0,0,,0,0,32.4,7.2,150,1007.3,80,20,140.7,0.5,1,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-10-11T16:00:00,19.3,19.3,15.3,77.65,0,0,,0,0,28.4,13.7,154.5,1007,100,,108.2,0.4,1,,Overcast,cloudy,remote
"Київ, Україна",2024-10-11T17:00:00,19,19,15.1,78.11,0,0,,0,0,27,12.2,146,1007,79.6,,86.9,0.3,1,,Partially cloudy,partly-cloudy-day,remote
"Київ, Україна",2024-10-11T18:00:00,18.4,18.4,15.7,84.28,0,0,,0,0,24.1,3.6,160,1007.5,90,20,33.4,0.1,0,,Partially cloudy,partly-cloudy-day,33345099999
"Київ, Україна",2024-10-11T19:00:00,19,19,14.9,77.11,0,0,,0,0,24.5,12.6,137.6,1007,53.4,,0.4,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-11T20:00:00,16.8,16.8,14.3,85.2,0,0,,0,0,26.6,13.7,142.4,1008,51.8,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
"Київ, Україна",2024-10-11T21:00:00,16.4,16.4,14.9,90.84,0,0,,0,0,28.1,3.6,150,1008.1,40,10,0,0,0,,Partially cloudy,partly-cloudy-night,33345099999
"Київ, Україна",2024-10-11T22:00:00,17.2,17.2,14.6,84.69,0.9,100,rain,0,0,26.3,14,162.4,1008,88.4,,0,0,0,,"Rain, Partially cloudy",rain,remote
"Київ, Україна",2024-10-11T23:00:00,16.1,16.1,14.4,89.66,0.6,100,rain,0,0,25.6,11.9,179.3,1009,99.2,,0,0,0,,"Rain, Overcast",rain,remote
"Київ, Україна",2024-10-12T00:00:00,17.4,17.4,15.4,88.04,0,0,,0,0,20.9,7.2,270,1008.8,100,10,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2024-10-12T01:00:00,14.8,14.8,14.2,96.2,0,0,,0,0,18.7,6.5,243.6,1010,99.6,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T02:00:00,14.9,14.9,14.4,96.82,0,0,,0,0,18.7,13,292.7,1010,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T03:00:00,14.6,14.6,14.1,96.82,0,0,,0,0,29.2,18.4,315,1010,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T04:00:00,14,14,13.2,94.93,0,0,,0,0,36.7,19.1,324.1,1011,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T05:00:00,12.4,12.4,11.6,94.87,0,0,,0,0,39.6,18.4,329.3,1011,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T06:00:00,12.9,12.9,11.9,93.64,0,0,,0,0,40.3,14.4,350,1011.2,100,10,0,0,0,,Overcast,cloudy,33345099999
"Київ, Україна",2024-10-12T07:00:00,12.4,12.4,11.5,94.24,0,0,,0,0,39.6,19.1,333.5,1012,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T08:00:00,11.6,11.6,10.8,94.83,0,0,,0,0,40.3,19.4,331.9,1013,100,,1.6,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-10-12T09:00:00,12.2,12.2,11.4,94.86,6,100,rain,0,0,42.8,10.8,340,1013.6,100,4,9,0,0,,"Rain, Overcast",rain,33345099999
