name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Київ, Україна",2024-11-20T00:00:00,3.8,-0.7,0.4,78.47,0,0,,0,0,37.8,22,167.8,1009,97.4,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T01:00:00,3.9,-0.6,0.5,78.48,0,0,,0,0,38.9,22.3,172.2,1008,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T02:00:00,4.2,-0.4,0.4,76.3,0,0,,0,0,40.7,23.4,178.9,1007,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T03:00:00,4.4,-0.3,0.1,73.62,0,0,,0,0,43.2,25.2,185.7,1006,97,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T04:00:00,5.4,0.9,0.1,68.66,0,0,,0,0,45.7,25.9,188.8,1005,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T05:00:00,5.4,0.9,-0.5,65.73,0,0,,0,0,47.9,26.3,189.2,1004,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T06:00:00,5.4,0.8,-0.9,63.84,0,0,,0,0,49.3,26.6,187.4,1003,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T07:00:00,6.6,2.3,1.1,67.93,0,0,,0,0,50.8,27,184.2,1002,100,,0,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T08:00:00,6.4,2.1,2.1,73.98,0,0,,0,0,51.1,27,182.5,1002,99,,6.3,0,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T09:00:00,6.3,1.9,2.7,77.74,0,0,,0,0,52.2,28.1,180.9,1002,98.4,,47.1,0.2,0,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T10:00:00,9.2,5.5,4.3,71.42,0,0,,0,0,54.7,29.2,177.8,1001,99.8,,60.9,0.2,1,,Overcast,cloudy,remote
"Київ, Україна",2024-11-20T11:00:00,8.9,5,4.4,73.39,0,0,,0,0,56.9,30.6,177.4,1000,97.6,,79.1,0.3,1,,Overcast,cloudy,remote
